CustomerID,Age,TenureMonths,MonthlyCharges,Contract,InternetService,PaperlessBilling,PaymentMethod,Churn
CUST_0000,56,23,95.60042417740772,One year,Fiber optic,Yes,Credit card (automatic),No
CUST_0001,69,32,65.23140350513356,Month-to-month,DSL,No,Bank transfer (automatic),Yes
CUST_0002,46,62,24.317029086294145,One year,Fiber optic,Yes,Bank transfer (automatic),No
CUST_0003,32,10,50.96007450855001,Two year,No,Yes,Mailed check,Yes
CUST_0004,60,54,52.01101410059012,Month-to-month,Fiber optic,No,Bank transfer (automatic),No
CUST_0005,25,52,103.8352904049016,Month-to-month,Fiber optic,No,Electronic check,Yes
CUST_0006,78,20,85.42299779998744,Two year,Fiber optic,No,Bank transfer (automatic),Yes
CUST_0007,38,32,47.54299036394728,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes
CUST_0008,56,14,116.7739954659086,Month-to-month,DSL,Yes,Mailed check,Yes
CUST_0009,75,50,52.15418323978714,Month-to-month,DSL,Yes,Mailed check,Yes
CUST_0010,36,28,119.82340258287203,Month-to-month,DSL,Yes,Bank transfer (automatic),Yes
CUST_0011,40,53,119.61636931702633,Month-to-month,DSL,Yes,Mailed check,No
CUST_0012,28,24,39.12105177467418,Month-to-month,DSL,Yes,Credit card (automatic),No
CUST_0013,28,22,51.27411161884002,One year,Fiber optic,Yes,Credit card (automatic),Yes
CUST_0014,41,30,68.60441984846543,Month-to-month,Fiber optic,No,Credit card (automatic),No
CUST_0015,70,63,86.4100671147891,Two year,DSL,No,Bank transfer (automatic),No
CUST_0016,53,4,72.80474490037993,Month-to-month,DSL,No,Electronic check,No
CUST_0017,57,59,116.94414691322568,Two year,DSL,Yes,Electronic check,No
CUST_0018,41,8,92.39891642356915,Two year,Fiber optic,No,Mailed check,No
CUST_0019,20,12,41.20448493829744,One year,DSL,No,Electronic check,No
CUST_0020,39,31,30.50975502136383,Two year,Fiber optic,No,Electronic check,No
CUST_0021,70,34,88.84012907093567,One year,Fiber optic,Yes,Bank transfer (automatic),No
CUST_0022,19,49,35.8452440180763,Two year,Fiber optic,Yes,Mailed check,No
CUST_0023,41,57,98.76768403357542,Month-to-month,Fiber optic,No,Electronic check,No
CUST_0024,61,26,51.103666726033694,Month-to-month,DSL,No,Credit card (automatic),Yes
CUST_0025,47,18,52.68932630556065,One year,DSL,Yes,Mailed check,Yes
CUST_0026,55,38,21.079839238951198,Month-to-month,DSL,Yes,Mailed check,No
CUST_0027,19,50,90.10112670950407,Two year,DSL,No,Mailed check,No
CUST_0028,77,8,31.32697530646858,Two year,DSL,Yes,Credit card (automatic),Yes
CUST_0029,38,41,97.28805774635181,Month-to-month,Fiber optic,No,Electronic check,No
CUST_0030,50,6,69.18678219172068,Two year,DSL,Yes,Credit card (automatic),No
CUST_0031,29,69,98.4279814954569,Month-to-month,No,Yes,Mailed check,No
CUST_0032,75,44,78.39265391977412,Month-to-month,DSL,Yes,Mailed check,No
CUST_0033,39,64,28.243327201899078,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),No
CUST_0034,78,29,96.56523367051831,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes
CUST_0035,61,28,26.979948489474975,One year,DSL,Yes,Bank transfer (automatic),No
CUST_0036,42,11,67.87017205693323,One year,DSL,Yes,Bank transfer (automatic),Yes
CUST_0037,66,65,37.23492141449633,Month-to-month,Fiber optic,Yes,Mailed check,No
CUST_0038,44,19,95.2335177977885,One year,No,Yes,Credit card (automatic),Yes
CUST_0039,76,9,111.15912278061266,One year,Fiber optic,Yes,Bank transfer (automatic),No
CUST_0040,59,27,75.41261633582742,Month-to-month,DSL,No,Credit card (automatic),No
CUST_0041,45,34,72.71472942991805,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes
CUST_0042,77,44,96.3963196325618,Two year,DSL,Yes,Electronic check,No
CUST_0043,33,68,20.50788129757272,Two year,No,Yes,Bank transfer (automatic),No
CUST_0044,32,15,111.77586426351607,Month-to-month,Fiber optic,No,Credit card (automatic),No
CUST_0045,79,51,39.74488170911317,Month-to-month,DSL,Yes,Bank transfer (automatic),Yes
CUST_0046,79,13,118.41188838262373,Two year,DSL,Yes,Electronic check,No
CUST_0047,64,49,93.62539479604622,One year,DSL,Yes,Credit card (automatic),Yes
CUST_0048,79,70,97.42511477006711,Month-to-month,No,No,Credit card (automatic),No
CUST_0049,68,56,85.62029803736066,One year,No,No,Credit card (automatic),Yes
CUST_0050,61,51,67.16631827851603,Month-to-month,DSL,Yes,Mailed check,Yes
CUST_0051,72,37,77.16276933611655,One year,Fiber optic,Yes,Credit card (automatic),Yes
CUST_0052,69,17,24.640288601512566,Month-to-month,No,Yes,Mailed check,Yes
CUST_0053,74,58,82.39595094320143,Month-to-month,DSL,Yes,Electronic check,No
CUST_0054,20,29,82.60981019870468,Month-to-month,DSL,No,Credit card (automatic),Yes
CUST_0055,54,33,109.12007974018094,Two year,DSL,Yes,Credit card (automatic),No
CUST_0056,68,60,70.56563574302194,One year,DSL,Yes,Credit card (automatic),No
CUST_0057,24,55,27.714437408606102,One year,DSL,Yes,Electronic check,No
CUST_0058,38,10,50.61959204820812,One year,No,No,Mailed check,Yes
CUST_0059,26,47,85.56294121143175,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes
CUST_0060,56,23,43.92588627514639,Two year,DSL,No,Electronic check,Yes
CUST_0061,35,21,48.052782185540096,Month-to-month,Fiber optic,Yes,Electronic check,Yes
CUST_0062,21,13,102.04690163608535,Two year,Fiber optic,Yes,Electronic check,No
CUST_0063,42,33,78.4319731762709,Month-to-month,Fiber optic,Yes,Mailed check,Yes
CUST_0064,77,24,70.85274317735725,Month-to-month,DSL,Yes,Mailed check,No
CUST_0065,31,11,51.845196680580436,Month-to-month,DSL,Yes,Mailed check,Yes
CUST_0066,67,17,93.09280359330333,One year,Fiber optic,Yes,Mailed check,Yes
CUST_0067,75,68,48.77184344900293,Two year,DSL,Yes,Mailed check,No
CUST_0068,26,47,93.70635176441752,One year,DSL,No,Credit card (automatic),No
CUST_0069,43,25,27.0101480267442,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes
CUST_0070,70,21,106.45413415820836,Two year,DSL,Yes,Bank transfer (automatic),Yes
CUST_0071,19,12,69.95664633759327,Month-to-month,No,Yes,Mailed check,Yes
CUST_0072,37,37,63.850801669897,Two year,Fiber optic,Yes,Mailed check,No
CUST_0073,45,42,81.10234115419246,One year,DSL,Yes,Credit card (automatic),No
CUST_0074,64,17,82.41920728962705,Month-to-month,DSL,Yes,Mailed check,Yes
CUST_0075,77,48,33.203517688999554,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes
CUST_0076,24,28,95.62335898162132,Month-to-month,Fiber optic,No,Credit card (automatic),No
CUST_0077,61,41,47.592829795006296,Month-to-month,Fiber optic,Yes,Electronic check,No
CUST_0078,78,47,110.4961880169914,Month-to-month,Fiber optic,Yes,Electronic check,No
CUST_0079,25,18,101.78506634148324,Month-to-month,Fiber optic,No,Mailed check,Yes
CUST_0080,64,71,54.62660415347485,Month-to-month,No,Yes,Credit card (automatic),Yes
CUST_0081,52,13,100.77392932007145,One year,Fiber optic,Yes,Mailed check,Yes
CUST_0082,31,13,55.63904992999042,Two year,Fiber optic,Yes,Electronic check,No
CUST_0083,34,31,30.094768163604062,Month-to-month,Fiber optic,No,Electronic check,Yes
CUST_0084,53,2,116.1888238725708,Month-to-month,No,Yes,Electronic check,No
CUST_0085,67,16,85.260201521544,Month-to-month,Fiber optic,Yes,Electronic check,Yes
CUST_0086,57,9,65.60995266625918,Month-to-month,Fiber optic,No,Electronic check,Yes
CUST_0087,21,38,59.77733515310396,Two year,Fiber optic,Yes,Mailed check,Yes
CUST_0088,19,54,52.470533425826396,One year,Fiber optic,No,Mailed check,Yes
CUST_0089,79,56,118.14475954291294,Two year,DSL,No,Electronic check,No
CUST_0090,23,45,33.474726513090744,Month-to-month,Fiber optic,Yes,Mailed check,No
CUST_0091,71,34,51.48050589205683,One year,DSL,No,Electronic check,Yes
CUST_0092,59,9,68.54976402826635,Month-to-month,DSL,No,Electronic check,Yes
CUST_0093,21,8,67.79995450543115,Two year,No,No,Electronic check,No
CUST_0094,71,7,67.13664844078434,Two year,DSL,Yes,Mailed check,No
CUST_0095,46,36,37.57838158303818,One year,DSL,No,Mailed check,Yes
CUST_0096,35,18,34.49325271095006,Two year,DSL,Yes,Credit card (automatic),No
CUST_0097,43,3,45.47675863286201,Month-to-month,DSL,No,Mailed check,Yes
CUST_0098,61,28,111.4526153802056,Two year,Fiber optic,Yes,Mailed check,No
CUST_0099,51,70,31.305296783451013,Month-to-month,DSL,Yes,Bank transfer (automatic),No
CUST_0100,27,44,95.74251033733248,Month-to-month,DSL,Yes,Electronic check,Yes
CUST_0101,79,21,95.75483931333713,Month-to-month,DSL,Yes,Electronic check,Yes
CUST_0102,53,28,100.97704038972623,Two year,DSL,Yes,Mailed check,Yes
CUST_0103,31,54,108.66154889893555,Two year,DSL,Yes,Mailed check,Yes
CUST_0104,48,54,46.30361775389303,Two year,Fiber optic,Yes,Credit card (automatic),No
CUST_0105,65,65,42.45594692688964,Two year,DSL,Yes,Bank transfer (automatic),No
CUST_0106,32,21,66.55056665274797,Month-to-month,DSL,Yes,Electronic check,No
CUST_0107,25,13,46.50891687520361,Two year,No,Yes,Electronic check,Yes
CUST_0108,31,57,93.43099889831075,Two year,No,No,Mailed check,No
CUST_0109,40,49,83.59395767414335,Month-to-month,DSL,No,Mailed check,Yes
CUST_0110,77,54,107.49876880526514,Month-to-month,DSL,Yes,Bank transfer (automatic),Yes
CUST_0111,74,10,28.273830348707158,One year,Fiber optic,Yes,Electronic check,Yes
CUST_0112,79,53,111.50833333580748,Two year,Fiber optic,No,Bank transfer (automatic),No
CUST_0113,57,44,49.334862667008956,Two year,No,Yes,Electronic check,No
CUST_0114,38,47,69.0694345926984,Two year,Fiber optic,Yes,Mailed check,No
CUST_0115,33,53,63.86114359396437,Two year,Fiber optic,Yes,Bank transfer (automatic),No
CUST_0116,62,46,96.03116511044239,Two year,No,No,Credit card (automatic),No
CUST_0117,35,13,62.033330943184254,One year,Fiber optic,Yes,Mailed check,Yes
CUST_0118,64,37,114.35531456494094,One year,DSL,No,Credit card (automatic),Yes
CUST_0119,70,24,110.25338826385754,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes
CUST_0120,41,2,107.21611519695065,One year,DSL,No,Credit card (automatic),No
CUST_0121,43,14,27.125833264822788,Month-to-month,DSL,Yes,Electronic check,No
CUST_0122,42,10,105.42580615539394,Two year,Fiber optic,Yes,Credit card (automatic),No
CUST_0123,77,35,98.16354454432106,Month-to-month,DSL,Yes,Electronic check,No
CUST_0124,77,25,30.351294700613103,Month-to-month,DSL,No,Bank transfer (automatic),No
CUST_0125,77,3,30.74143254362219,Month-to-month,No,Yes,Mailed check,No
CUST_0126,62,17,30.11638115175412,One year,Fiber optic,Yes,Electronic check,Yes
CUST_0127,58,12,21.133259320448754,Month-to-month,DSL,No,Electronic check,Yes
CUST_0128,46,54,74.86343051945835,Month-to-month,DSL,Yes,Bank transfer (automatic),Yes
CUST_0129,32,24,117.33942914360433,Month-to-month,DSL,Yes,Bank transfer (automatic),No
